date,activity-calories,calories,caloriesBMR,distance,minutesSedentary,minutesLightlyActive,minutesFairlyActive,minutesVeryActive,steps
2020-10-27,0,1805,1805,0.0,1440,0,0,0,0
2020-10-28,0,1805,1805,0.0,1440,0,0,0,0
2020-10-29,0,1805,1805,0.0,1440,0,0,0,0
2020-10-30,0,1805,1805,0.0,1440,0,0,0,0
2020-10-31,0,1805,1805,0.0,1440,0,0,0,0
2020-11-01,0,1805,1805,0.0,1440,0,0,0,0
2020-11-02,0,1805,1805,0.0,1440,0,0,0,0
2020-11-03,0,1805,1805,0.0,1440,0,0,0,0
2020-11-04,0,1805,1805,0.0,1440,0,0,0,0
2020-11-05,0,1805,1805,0.0,1440,0,0,0,0
2020-11-06,0,1805,1805,0.0,1440,0,0,0,0
2020-11-07,0,1805,1805,0.0,1440,0,0,0,0
2020-11-08,0,1805,1805,0.0,1440,0,0,0,0
2020-11-09,0,1805,1805,0.0,1440,0,0,0,0
2020-11-10,0,1805,1805,0.0,1440,0,0,0,0
2020-11-11,0,1805,1805,0.0,1440,0,0,0,0
2020-11-12,0,1805,1805,0.0,1440,0,0,0,0
2020-11-13,0,1805,1805,0.0,1440,0,0,0,0
2020-11-14,0,1805,1805,0.0,1440,0,0,0,0
2020-11-15,0,1800,1800,0.0,1440,0,0,0,0
2020-11-16,0,1800,1800,0.0,1440,0,0,0,0
2020-11-17,0,1800,1800,0.0,1440,0,0,0,0
2020-11-18,0,1800,1800,0.0,1440,0,0,0,0
2020-11-19,0,1800,1800,0.0,1440,0,0,0,0
2020-11-20,0,1800,1800,0.0,1440,0,0,0,0
2020-11-21,0,1800,1800,0.0,1440,0,0,0,0
2020-11-22,0,1800,1800,0.0,1440,0,0,0,0
2020-11-23,0,1800,1800,0.0,1440,0,0,0,0
2020-11-24,0,1800,1800,0.0,1440,0,0,0,0
2020-11-25,0,1800,1800,0.0,1440,0,0,0,0
2020-11-26,0,1800,1800,0.0,1440,0,0,0,0
2020-11-27,0,1800,1800,0.0,1440,0,0,0,0
2020-11-28,0,1800,1800,0.0,1440,0,0,0,0
2020-11-29,0,1800,1800,0.0,1440,0,0,0,0
2020-11-30,0,1800,1800,0.0,1440,0,0,0,0
2020-12-01,0,1800,1800,0.0,1440,0,0,0,0
2020-12-02,0,1800,1800,0.0,1440,0,0,0,0
2020-12-03,0,1800,1800,0.0,1440,0,0,0,0
2020-12-04,0,1800,1800,0.0,1440,0,0,0,0
2020-12-05,0,1800,1800,0.0,1440,0,0,0,0
2020-12-06,0,1800,1800,0.0,1440,0,0,0,0
2020-12-07,0,1800,1800,0.0,1440,0,0,0,0
2020-12-08,0,1800,1800,0.0,1440,0,0,0,0
2020-12-09,0,1800,1800,0.0,1440,0,0,0,0
2020-12-10,0,1800,1800,0.0,1440,0,0,0,0
2020-12-11,0,1800,1800,0.0,1440,0,0,0,0
2020-12-12,0,1800,1800,0.0,1440,0,0,0,0
2020-12-13,0,1800,1800,0.0,1440,0,0,0,0
2020-12-14,0,1800,1800,0.0,1440,0,0,0,0
2020-12-15,0,1800,1800,0.0,1440,0,0,0,0
2020-12-16,0,1800,1800,0.0,1440,0,0,0,0
2020-12-17,0,1800,1800,0.0,1440,0,0,0,0
2020-12-18,0,1800,1800,0.0,1440,0,0,0,0
2020-12-19,0,1800,1800,0.0,1440,0,0,0,0
2020-12-20,0,1800,1800,0.0,1440,0,0,0,0
2020-12-21,0,1800,1800,0.0,1440,0,0,0,0
2020-12-22,0,1800,1800,0.0,1440,0,0,0,0
2020-12-23,0,1800,1800,0.0,1440,0,0,0,0
2020-12-24,0,1800,1800,0.0,1440,0,0,0,0
2020-12-25,0,1800,1800,0.0,1440,0,0,0,0
2020-12-26,0,1800,1800,0.0,1440,0,0,0,0
2020-12-27,0,1800,1800,0.0,1440,0,0,0,0
2020-12-28,0,1800,1800,0.0,1440,0,0,0,0
2020-12-29,0,1800,1800,0.0,1440,0,0,0,0
2020-12-30,0,1800,1800,0.0,1440,0,0,0,0
