dateTime,caloriesOut,max,min,minutes,name,restingHeartRate
2021-10-28,0,100,30,0,Out of Range,0
2021-10-28,0,140,100,0,Fat Burn,0
2021-10-28,0,170,140,0,Cardio,0
2021-10-28,0,220,170,0,Peak,0
2021-10-29,0,100,30,0,Out of Range,0
2021-10-29,0,140,100,0,Fat Burn,0
2021-10-29,0,170,140,0,Cardio,0
2021-10-29,0,220,170,0,Peak,0
2021-10-30,0,100,30,0,Out of Range,0
2021-10-30,0,140,100,0,Fat Burn,0
2021-10-30,0,170,140,0,Cardio,0
2021-10-30,0,220,170,0,Peak,0
2021-10-31,0,100,30,0,Out of Range,0
2021-10-31,0,140,100,0,Fat Burn,0
2021-10-31,0,170,140,0,Cardio,0
2021-10-31,0,220,170,0,Peak,0
2021-11-01,0,100,30,0,Out of Range,0
2021-11-01,0,140,100,0,Fat Burn,0
2021-11-01,0,170,140,0,Cardio,0
2021-11-01,0,220,170,0,Peak,0
2021-11-02,0,100,30,0,Out of Range,0
2021-11-02,0,140,100,0,Fat Burn,0
2021-11-02,0,170,140,0,Cardio,0
2021-11-02,0,220,170,0,Peak,0
2021-11-03,0,100,30,0,Out of Range,0
2021-11-03,0,140,100,0,Fat Burn,0
2021-11-03,0,170,140,0,Cardio,0
2021-11-03,0,220,170,0,Peak,0
2021-11-04,0,100,30,0,Out of Range,0
2021-11-04,0,140,100,0,Fat Burn,0
2021-11-04,0,170,140,0,Cardio,0
2021-11-04,0,220,170,0,Peak,0
2021-11-05,0,100,30,0,Out of Range,0
2021-11-05,0,140,100,0,Fat Burn,0
2021-11-05,0,170,140,0,Cardio,0
2021-11-05,0,220,170,0,Peak,0
2021-11-06,0,100,30,0,Out of Range,0
2021-11-06,0,140,100,0,Fat Burn,0
2021-11-06,0,170,140,0,Cardio,0
2021-11-06,0,220,170,0,Peak,0
2021-11-07,0,100,30,0,Out of Range,0
2021-11-07,0,140,100,0,Fat Burn,0
2021-11-07,0,170,140,0,Cardio,0
2021-11-07,0,220,170,0,Peak,0
2021-11-08,0,100,30,0,Out of Range,0
2021-11-08,0,140,100,0,Fat Burn,0
2021-11-08,0,170,140,0,Cardio,0
2021-11-08,0,220,170,0,Peak,0
2021-11-09,0,100,30,0,Out of Range,0
2021-11-09,0,140,100,0,Fat Burn,0
2021-11-09,0,170,140,0,Cardio,0
2021-11-09,0,220,170,0,Peak,0
2021-11-10,0,100,30,0,Out of Range,0
2021-11-10,0,140,100,0,Fat Burn,0
2021-11-10,0,170,140,0,Cardio,0
2021-11-10,0,220,170,0,Peak,0
2021-11-11,0,100,30,0,Out of Range,0
2021-11-11,0,140,100,0,Fat Burn,0
2021-11-11,0,170,140,0,Cardio,0
2021-11-11,0,220,170,0,Peak,0
2021-11-12,0,100,30,0,Out of Range,0
2021-11-12,0,140,100,0,Fat Burn,0
2021-11-12,0,170,140,0,Cardio,0
2021-11-12,0,220,170,0,Peak,0
2021-11-13,0,100,30,0,Out of Range,0
2021-11-13,0,140,100,0,Fat Burn,0
2021-11-13,0,170,140,0,Cardio,0
2021-11-13,0,220,170,0,Peak,0
2021-11-14,0,100,30,0,Out of Range,0
2021-11-14,0,140,100,0,Fat Burn,0
2021-11-14,0,170,140,0,Cardio,0
2021-11-14,0,220,170,0,Peak,0
2021-11-15,0,99,30,0,Out of Range,0
2021-11-15,0,139,99,0,Fat Burn,0
2021-11-15,0,169,139,0,Cardio,0
2021-11-15,0,220,169,0,Peak,0
2021-11-16,0,99,30,0,Out of Range,0
2021-11-16,0,139,99,0,Fat Burn,0
2021-11-16,0,169,139,0,Cardio,0
2021-11-16,0,220,169,0,Peak,0
2021-11-17,0,99,30,0,Out of Range,0
2021-11-17,0,139,99,0,Fat Burn,0
2021-11-17,0,169,139,0,Cardio,0
2021-11-17,0,220,169,0,Peak,0
2021-11-18,0,99,30,0,Out of Range,0
2021-11-18,0,139,99,0,Fat Burn,0
2021-11-18,0,169,139,0,Cardio,0
2021-11-18,0,220,169,0,Peak,0
2021-11-19,0,99,30,0,Out of Range,0
2021-11-19,0,139,99,0,Fat Burn,0
2021-11-19,0,169,139,0,Cardio,0
2021-11-19,0,220,169,0,Peak,0
2021-11-20,0,99,30,0,Out of Range,0
2021-11-20,0,139,99,0,Fat Burn,0
2021-11-20,0,169,139,0,Cardio,0
2021-11-20,0,220,169,0,Peak,0
2021-11-21,0,99,30,0,Out of Range,0
2021-11-21,0,139,99,0,Fat Burn,0
2021-11-21,0,169,139,0,Cardio,0
2021-11-21,0,220,169,0,Peak,0
2021-11-22,0,99,30,0,Out of Range,0
2021-11-22,0,139,99,0,Fat Burn,0
2021-11-22,0,169,139,0,Cardio,0
2021-11-22,0,220,169,0,Peak,0
2021-11-23,0,99,30,0,Out of Range,0
2021-11-23,0,139,99,0,Fat Burn,0
2021-11-23,0,169,139,0,Cardio,0
2021-11-23,0,220,169,0,Peak,0
2021-11-24,0,99,30,0,Out of Range,0
2021-11-24,0,139,99,0,Fat Burn,0
2021-11-24,0,169,139,0,Cardio,0
2021-11-24,0,220,169,0,Peak,0
2021-11-25,1818.02238,115,30,1440,Out of Range,0
2021-11-25,0,143,115,0,Fat Burn,0
2021-11-25,0,178,143,0,Cardio,0
2021-11-25,0,220,178,0,Peak,0
2021-11-26,2480.73132,115,30,1440,Out of Range,59
2021-11-26,0,143,115,0,Fat Burn,59
2021-11-26,0,178,143,0,Cardio,59
2021-11-26,0,220,178,0,Peak,59
2021-11-27,4024.3476000000005,115,30,1426,Out of Range,0
2021-11-27,121.80259,143,115,14,Fat Burn,0
2021-11-27,0,178,143,0,Cardio,0
2021-11-27,0,220,178,0,Peak,0
2021-11-28,1829.28291,118,30,1440,Out of Range,65
2021-11-28,0,145,118,0,Fat Burn,65
2021-11-28,0,178,145,0,Cardio,65
2021-11-28,0,220,178,0,Peak,65
2021-11-29,2253.6595899999998,118,30,1440,Out of Range,64
2021-11-29,0,145,118,0,Fat Burn,64
2021-11-29,0,178,145,0,Cardio,64
2021-11-29,0,220,178,0,Peak,64
2021-11-30,3369.5807600000003,117,30,1428,Out of Range,63
2021-11-30,77.54474,144,117,12,Fat Burn,63
2021-11-30,0,178,144,0,Cardio,63
2021-11-30,0,220,178,0,Peak,63
2021-12-01,3322.08149,116,30,1439,Out of Range,62
2021-12-01,6.35817,144,116,1,Fat Burn,62
2021-12-01,0,178,144,0,Cardio,62
2021-12-01,0,220,178,0,Peak,62
2021-12-02,2635.7731400000002,116,30,1435,Out of Range,62
2021-12-02,45.629220000000004,144,116,5,Fat Burn,62
2021-12-02,0,178,144,0,Cardio,62
2021-12-02,0,220,178,0,Peak,62
2021-12-03,2461.35981,116,30,1439,Out of Range,61
2021-12-03,4.9868,143,116,1,Fat Burn,61
2021-12-03,0,178,143,0,Cardio,61
2021-12-03,0,220,178,0,Peak,61
2021-12-04,4049.7802799999995,116,30,1431,Out of Range,61
2021-12-04,62.833679999999994,143,116,9,Fat Burn,61
2021-12-04,0,178,143,0,Cardio,61
2021-12-04,0,220,178,0,Peak,61
2021-12-05,3493.2534,116,30,1426,Out of Range,61
2021-12-05,111.95366000000001,143,116,12,Fat Burn,61
2021-12-05,23.43796,178,143,2,Cardio,61
2021-12-05,0,220,178,0,Peak,61
2021-12-06,2472.95412,115,30,1420,Out of Range,60
2021-12-06,171.79525999999996,143,115,20,Fat Burn,60
2021-12-06,0,178,143,0,Cardio,60
2021-12-06,0,220,178,0,Peak,60
2021-12-07,2764.9312600000003,116,30,1422,Out of Range,61
2021-12-07,122.30127000000002,143,116,16,Fat Burn,61
2021-12-07,22.4406,178,143,2,Cardio,61
2021-12-07,0,220,178,0,Peak,61
2021-12-08,3601.7163,116,30,1439,Out of Range,62
2021-12-08,9.22558,144,116,1,Fat Burn,62
2021-12-08,0,178,144,0,Cardio,62
2021-12-08,0,220,178,0,Peak,62
2021-12-09,3865.7673600000003,116,30,1428,Out of Range,62
2021-12-09,95.9959,144,116,12,Fat Burn,62
2021-12-09,0,178,144,0,Cardio,62
2021-12-09,0,220,178,0,Peak,62
2021-12-10,2962.53321,116,30,1416,Out of Range,61
2021-12-10,146.86126,143,116,19,Fat Burn,61
2021-12-10,51.61338000000001,178,143,5,Cardio,61
2021-12-10,0,220,178,0,Peak,61
2021-12-11,4057.63449,116,30,1438,Out of Range,61
2021-12-11,13.96304,143,116,2,Fat Burn,61
2021-12-11,0,178,143,0,Cardio,61
2021-12-11,0,220,178,0,Peak,61
2021-12-12,3830.36108,116,30,1410,Out of Range,62
2021-12-12,228.27077000000008,144,116,26,Fat Burn,62
2021-12-12,44.00851,178,144,4,Cardio,62
2021-12-12,0,220,178,0,Peak,62
2021-12-13,2550.7482,115,30,1440,Out of Range,60
2021-12-13,0,143,115,0,Fat Burn,60
2021-12-13,0,178,143,0,Cardio,60
2021-12-13,0,220,178,0,Peak,60
2021-12-14,3279.9430300000004,115,30,1426,Out of Range,59
2021-12-14,117.68847999999998,143,115,14,Fat Burn,59
2021-12-14,0,178,143,0,Cardio,59
2021-12-14,0,220,178,0,Peak,59
2021-12-15,4639.84339,115,30,1433,Out of Range,59
2021-12-15,53.48343,143,115,7,Fat Burn,59
2021-12-15,0,178,143,0,Cardio,59
2021-12-15,0,220,178,0,Peak,59
2021-12-16,2975.3742199999997,115,30,1428,Out of Range,60
2021-12-16,79.66413,143,115,12,Fat Burn,60
2021-12-16,0,178,143,0,Cardio,60
2021-12-16,0,220,178,0,Peak,60
2021-12-17,2624.17883,115,30,1437,Out of Range,60
2021-12-17,22.19126,143,115,3,Fat Burn,60
2021-12-17,0,178,143,0,Cardio,60
2021-12-17,0,220,178,0,Peak,60
2021-12-18,3481.53442,115,30,1435,Out of Range,59
2021-12-18,36.90232,143,115,5,Fat Burn,59
2021-12-18,0,178,143,0,Cardio,59
2021-12-18,0,220,178,0,Peak,59
2021-12-19,3201.5256,114,30,1440,Out of Range,58
2021-12-19,0,142,114,0,Fat Burn,58
2021-12-19,0,177,142,0,Cardio,58
2021-12-19,0,220,177,0,Peak,58
2021-12-20,2704.0923,114,30,1436,Out of Range,58
2021-12-20,24.933999999999997,142,114,3,Fat Burn,58
2021-12-20,10.34761,177,142,1,Cardio,58
2021-12-20,0,220,177,0,Peak,58
2021-12-21,2923.6361699999998,115,30,1417,Out of Range,59
2021-12-21,190.99443999999997,143,115,22,Fat Burn,59
2021-12-21,11.09563,178,143,1,Cardio,59
2021-12-21,0,220,178,0,Peak,59
2021-12-22,2697.60946,115,30,1418,Out of Range,60
2021-12-22,186.38164999999995,143,115,22,Fat Burn,60
2021-12-22,0,178,143,0,Cardio,60
2021-12-22,0,220,178,0,Peak,60
2021-12-23,3131.46106,115,30,1433,Out of Range,60
2021-12-23,46.00323,143,115,7,Fat Burn,60
2021-12-23,0,178,143,0,Cardio,60
2021-12-23,0,220,178,0,Peak,60
2021-12-24,3836.9685900000004,115,30,1395,Out of Range,59
2021-12-24,311.4256600000001,143,115,38,Fat Burn,59
2021-12-24,78.79144,178,143,7,Cardio,59
2021-12-24,0,220,178,0,Peak,59
2021-12-25,2530.42699,115,30,1416,Out of Range,60
2021-12-25,179.15078999999997,143,115,24,Fat Burn,60
2021-12-25,0,178,143,0,Cardio,60
2021-12-25,0,220,178,0,Peak,60
2021-12-26,3317.0946900000004,116,30,1435,Out of Range,62
2021-12-26,38.897040000000004,144,116,5,Fat Burn,62
2021-12-26,0,178,144,0,Cardio,62
2021-12-26,0,220,178,0,Peak,62
2021-12-27,2550.00018,116,30,1437,Out of Range,61
2021-12-27,24.80933,143,116,3,Fat Burn,61
2021-12-27,0,178,143,0,Cardio,61
2021-12-27,0,220,178,0,Peak,61
2021-12-28,3491.25868,115,30,1429,Out of Range,60
2021-12-28,84.90027,143,115,11,Fat Burn,60
2021-12-28,0,178,143,0,Cardio,60
2021-12-28,0,220,178,0,Peak,60
2021-12-29,2866.1632999999997,116,30,1421,Out of Range,62
2021-12-29,154.71546999999998,144,116,19,Fat Burn,62
2021-12-29,0,178,144,0,Cardio,62
2021-12-29,0,220,178,0,Peak,62
2021-12-30,2443.5319999999997,116,30,1437,Out of Range,61
2021-12-30,19.32385,143,116,3,Fat Burn,61
2021-12-30,0,178,143,0,Cardio,61
