dateOfSleep,awakeCount,awakeDuration,awakeningsCount,duration,efficiency,minutesAfterWakeup,minutesAsleep,minutesAwake,minutesToFallAsleep,restlessCount,restlessDuration,timeInBed
2021-12-31,3,12,12,28980000,94,0,454,29,0,9,17,483
2021-12-30,2,11,6,28260000,96,0,452,19,0,4,8,471
2021-12-29,1,1,10,26940000,97,0,436,13,0,9,12,449
2021-12-28,2,7,10,28320000,95,0,447,25,0,8,18,472
2021-12-27,3,4,11,26880000,97,1,434,13,0,8,10,448
2021-12-26,0,0,2,4140000,96,0,66,3,0,2,3,69
2021-12-26,2,8,9,31020000,96,0,498,19,0,7,11,517
2021-12-25,2,6,8,29280000,97,0,474,14,0,6,8,488
2021-12-24,0,0,1,3660000,95,0,58,3,0,1,3,61
2021-12-24,1,1,6,6360000,88,0,93,13,0,5,12,106
2021-12-24,3,8,11,33660000,95,0,535,26,0,8,18,561
2021-12-23,3,9,13,29100000,94,0,455,30,0,10,21,485
2021-12-22,1,4,4,26820000,98,0,436,11,0,3,7,447
2021-12-21,4,9,15,28680000,94,0,449,29,0,11,20,478
2021-12-20,0,0,7,28620000,98,0,468,9,0,7,9,477
2021-12-19,3,3,15,35220000,96,0,563,24,0,12,21,587
2021-12-18,0,0,2,6240000,96,0,100,4,0,2,4,104
2021-12-18,1,4,6,29640000,98,0,483,11,0,5,7,494
2021-12-17,1,5,5,33540000,98,0,546,13,0,4,8,559
2021-12-16,2,7,11,25260000,95,0,402,19,0,9,12,421
2021-12-15,3,11,12,26160000,94,0,409,27,0,9,16,436
2021-12-14,3,8,16,30540000,95,0,484,25,0,13,17,509
2021-12-13,2,6,8,23520000,96,0,376,16,0,6,10,392
2021-12-12,3,3,13,31980000,96,0,510,23,0,10,20,533
2021-12-11,0,0,2,4800000,96,0,77,3,0,2,3,80
2021-12-11,4,12,18,37320000,94,0,583,39,0,14,27,622
2021-12-10,4,8,15,28500000,93,0,444,31,0,11,23,475
2021-12-09,4,15,18,37320000,93,0,578,44,0,14,29,622
2021-12-08,1,2,3,5280000,97,1,84,3,0,2,2,88
2021-12-08,3,5,15,37260000,95,0,593,28,0,12,23,621
2021-12-07,4,18,13,30600000,93,0,473,37,0,9,19,510
2021-12-06,1,4,7,27780000,97,0,448,15,0,6,11,463
2021-12-05,1,1,2,6720000,98,0,110,2,0,1,1,112
2021-12-05,3,7,11,32940000,96,0,528,21,0,8,14,549
2021-12-04,0,0,3,3600000,90,0,54,6,0,3,6,60
2021-12-04,3,4,13,26280000,95,0,415,23,0,10,19,438
2021-12-03,1,3,9,29640000,97,0,478,16,0,8,13,494
2021-12-02,2,13,13,29880000,94,0,469,29,0,11,16,498
2021-12-01,4,7,11,23700000,95,0,374,21,0,7,14,395
2021-11-30,0,0,3,28020000,93,0,432,35,0,3,6,467
2021-11-28,4,10,16,17940000,88,0,263,36,0,12,26,299
2021-11-27,0,0,1,4740000,97,0,77,2,0,1,2,79
2021-11-26,1,8,12,29940000,94,0,470,29,0,11,21,499
